Rank,ID,Country,Continent,Population,IMF_GDP,UN_GDP,GDP_per_capita
1,840,United States,North America,339996.56,26695150000000.00,18624475000000.00,78515.94
2,156,China,Asia,1425671.35,21865482000000.00,11218281029298.00,15336.97
3,392,Japan,Asia,123294.51,5291351000000.00,4936211827875.00,42916.35
4,276,Germany,Europe,83294.63,4564778000000.00,3477796274497.00,54802.79
5,356,India,Asia,1428627.66,3893670000000.00,2259642382872.00,2725.46
6,826,United Kingdom,Europe,67736.80,3686935000000.00,2647898654635.00,54430.31
7,250,France,Europe,64756.58,3086226000000.00,2465453975282.00,47658.88
8,124,Canada,North America,38781.29,2362318000000.00,1529760492201.00,60913.86
9,380,Italy,Europe,58870.76,2169384000000.00,1858913163928.00,36849.94
10,76,Brazil,South America,216422.45,1980483000000.00,1795925681016.00,9151.01
11,410,South Korea,Asia,51784.06,1919562000000.00,1411245589977.00,37068.59
12,36,Australia,Oceania,26439.11,1828394000000.00,1304463104965.00,69154.90
13,364,Iran,Asia,89172.77,1782602000000.00,425402616011.00,19990.43
14,643,Russia,Europe,144444.36,1713154000000.00,1246015056927.00,11860.30
15,724,Spain,Europe,47519.63,1519090000000.00,1237255019654.00,31967.63
16,360,Indonesia,Asia,277534.12,1410748000000.00,932259177621.00,5083.15
17,484,Mexico,North America,128455.57,1379727000000.00,1076914464477.00,10740.89
18,528,Netherlands,Europe,17618.30,1072789000000.00,777227541581.00,60890.61
19,682,Saudi Arabia,Asia,36947.03,1021905000000.00,639617050945.00,27658.65
20,158,Taiwan,Asia,23923.28,892516000000.00,0.00,37307.43
21,756,Switzerland,Europe,8796.67,888199000000.00,668851296244.00,100969.92
22,616,Poland,Europe,41026.07,755645000000.00,471402266588.00,18418.66
23,792,Turkey,Europe,85816.20,714305000000.00,863711710542.00,8323.66
24,752,Sweden,Europe,10612.09,669872000000.00,514475856961.00,63123.50
25,56,Belgium,Europe,11686.14,639716000000.00,467955267357.00,54741.43
26,566,Nigeria,Africa,223804.63,580121000000.00,404649125399.00,2592.09
27,32,Argentina,South America,45773.88,573633000000.00,545866164479.00,12531.88
28,372,Ireland,Europe,5056.94,562134000000.00,304819019837.00,111161.01
29,764,Thailand,Asia,71801.28,556372000000.00,407026319505.00,7748.78
30,578,Norway,Europe,5474.36,549733000000.00,371068933176.00,100419.59
31,376,Israel,Asia,9174.52,547765000000.00,317747579750.00,59705.03
32,40,Austria,Europe,8958.96,518808000000.00,390799991147.00,57909.40
33,784,United Arab Emirates,Asia,9516.87,506234000000.00,348743627620.00,53193.32
34,458,Malaysia,Asia,34308.53,481988000000.00,296531469473.00,14048.64
35,704,Vietnam,Asia,98858.95,462644000000.00,205276171343.00,4679.84
36,702,Singapore,Asia,6014.72,450999000000.00,296946278392.00,74982.51
37,818,Egypt,Africa,112716.60,450361000000.00,270143813412.00,3995.52
