"Rank","ID","Country","Continent","Population","IMF_GDP","UN_GDP","GDP_per_capita"
1,840,"United States","North America",339996.56,2.669515e+13,1.8624475e+13,78515.94
2,156,"China","Asia",1425671.35,2.1865482e+13,11218281029298,15336.97
3,392,"Japan","Asia",123294.51,5.291351e+12,4936211827875,42916.35
4,276,"Germany","Europe",83294.63,4.564778e+12,3477796274497,54802.79
5,356,"India","Asia",1428627.66,3.89367e+12,2259642382872,2725.46
6,826,"United Kingdom","Europe",67736.8,3.686935e+12,2647898654635,54430.31
7,250,"France","Europe",64756.58,3.086226e+12,2465453975282,47658.88
8,124,"Canada","North America",38781.29,2.362318e+12,1529760492201,60913.86
9,380,"Italy","Europe",58870.76,2.169384e+12,1858913163928,36849.94
10,76,"Brazil","South America",216422.45,1.980483e+12,1795925681016,9151.01
11,410,"South Korea","Asia",51784.06,1.919562e+12,1411245589977,37068.59
12,36,"Australia","Oceania",26439.11,1.828394e+12,1304463104965,69154.9
13,364,"Iran","Asia",89172.77,1.782602e+12,425402616011,19990.43
14,643,"Russia","Europe",144444.36,1.713154e+12,1246015056927,11860.3
15,724,"Spain","Europe",47519.63,1.51909e+12,1237255019654,31967.63
16,360,"Indonesia","Asia",277534.12,1.410748e+12,932259177621,5083.15
17,484,"Mexico","North America",128455.57,1.379727e+12,1076914464477,10740.89
18,528,"Netherlands","Europe",17618.3,1.072789e+12,777227541581,60890.61
19,682,"Saudi Arabia","Asia",36947.03,1.021905e+12,639617050945,27658.65
20,158,"Taiwan","Asia",23923.28,8.92516e+11,0,37307.43
21,756,"Switzerland","Europe",8796.67,8.88199e+11,668851296244,100969.92
22,616,"Poland","Europe",41026.07,7.55645e+11,471402266588,18418.66
23,792,"Turkey","Europe",85816.2,7.14305e+11,863711710542,8323.66
24,752,"Sweden","Europe",10612.09,6.69872e+11,514475856961,63123.5
25,56,"Belgium","Europe",11686.14,6.39716e+11,467955267357,54741.43
26,566,"Nigeria","Africa",223804.63,5.80121e+11,404649125399,2592.09
27,32,"Argentina","South America",45773.88,5.73633e+11,545866164479,12531.88
28,372,"Ireland","Europe",5056.94,5.62134e+11,304819019837,111161.01
29,764,"Thailand","Asia",71801.28,5.56372e+11,407026319505,7748.78
30,578,"Norway","Europe",5474.36,5.49733e+11,371068933176,100419.59
31,376,"Israel","Asia",9174.52,5.47765e+11,317747579750,59705.03
32,40,"Austria","Europe",8958.96,5.18808e+11,390799991147,57909.4
33,784,"United Arab Emirates","Asia",9516.87,5.06234e+11,348743627620,53193.32
34,458,"Malaysia","Asia",34308.53,4.81988e+11,296531469473,14048.64
35,704,"Vietnam","Asia",98858.95,4.62644e+11,205276171343,4679.84
36,702,"Singapore","Asia",6014.72,4.50999e+11,296946278392,74982.51
37,818,"Egypt","Africa",112716.6,4.50361e+11,270143813412,3995.52
38,710,"South Africa","Africa",60414.5,4.4772e+11,295440009818,7410.8
39,608,"Philippines","Asia",117337.37,4.45827e+11,304905638877,3799.53
40,50,"Bangladesh","Asia",172954.32,4.38436e+11,220836732893,2534.98
41,208,"Denmark","Europe",5910.91,4.19266e+11,306899653410,70930.84
42,344,"Hong Kong","Asia",7491.61,3.91338e+11,320912235499,52236.84
43,170,"Colombia","South America",52085.17,3.7047e+11,282462551367,7112.77
44,152,"Chile","South America",19629.59,3.51036e+11,247045730477,17883
45,203,"Czech Republic","Europe",10495.3,3.18938e+11,195305084919,30388.66
46,246,"Finland","Europe",5545.48,3.14502e+11,238502900312,56713.27
47,642,"Romania","Europe",19892.81,3.12694e+11,186690976699,15718.94
48,368,"Iraq","Asia",45504.56,2.99409e+11,160021001474,6579.76
49,554,"New Zealand","Oceania",5228.1,2.7672e+11,187517098554,52929.36
50,620,"Portugal","Europe",10247.61,2.67241e+11,204836597909,26078.39
51,604,"Peru","South America",34352.72,2.5796e+11,192209529586,7509.16
52,300,"Greece","Europe",10341.28,2.34808e+11,192690813127,22705.9
53,634,"Qatar","Asia",2716.39,2.28356e+11,152451923077,84065.95
54,398,"Kazakhstan","Europe",19606.63,2.25928e+11,135005203998,11523.04
55,348,"Hungary","Europe",10156.24,2.19463e+11,125816640421,21608.69
56,12,"Algeria","Africa",45606.48,1.99382e+11,159049145187,4371.79
57,414,"Kuwait","Asia",4310.11,1.80665e+11,110346129191,41916.58
58,504,"Morocco","Africa",37840.04,1.42967e+11,103606574896,3778.19
59,24,"Angola","Africa",36684.2,1.33335e+11,106917535790,3634.67
60,703,"Slovakia","Europe",5795.2,1.31046e+11,89768598023,22612.86
61,630,"Puerto Rico","North America",3260.31,1.21068e+11,105034500000,37133.85
62,218,"Ecuador","South America",18190.48,1.20246e+11,98010212618,6610.38
63,404,"Kenya","Africa",55100.59,1.19127e+11,70525979046,2161.99
64,214,"Dominican Republic","North America",11332.97,1.16544e+11,71583585170,10283.62
65,231,"Ethiopia","Africa",126527.06,1.16247e+11,70314560872,918.75
66,512,"Oman","Asia",4644.38,1.1025e+11,63170959402,23738.35
67,100,"Bulgaria","Europe",6687.72,9.7798e+10,53239643485,14623.53
68,320,"Guatemala","North America",18092.03,9.5988e+10,68762920570,5305.54
69,442,"Luxembourg","Europe",654.77,9.1773e+10,58631324559,140161.1
70,144,"Sri Lanka","Asia",21893.58,8.7121e+10,81321970966,3979.29
71,834,"Tanzania","Africa",67438.11,8.6152e+10,0,1277.5
72,795,"Turkmenistan","Asia",6516.1,8.4893e+10,36179885714,13028.19
73,860,"Uzbekistan","Asia",35163.94,8.1809e+10,67778902435,2326.5
74,384,"Ivory Coast","Africa",28873.03,8.0338e+10,36767790205,2782.46
75,288,"Ghana","Africa",34121.99,7.8893e+10,42793869465,2312.09
76,591,"Panama","North America",4468.09,7.6549e+10,55187800000,17132.39
77,440,"Lithuania","Europe",2718.35,7.5992e+10,42773029835,27955.17
78,191,"Croatia","Europe",4008.62,7.5827e+10,51231002611,18916
79,104,"Myanmar","Asia",54578,7.3543e+10,65697616068,1347.48
80,31,"Azerbaijan","Europe",10412.65,7.2912e+10,37847204069,7002.25
81,688,"Serbia","Europe",7149.08,7.2587e+10,38299871897,10153.34
82,180,"DR Congo","Africa",102262.81,7.1487e+10,40337492609,699.05
83,705,"Slovenia","Europe",2119.68,6.9888e+10,44708598649,32971.09
84,188,"Costa Rica","North America",5212.17,6.818e+10,57435510668,13080.92
85,858,"Uruguay","South America",3423.11,6.6988e+10,52419718459,19569.35
86,112,"Belarus","Europe",9498.24,6.0188e+10,47408111179,6336.75
87,400,"Jordan","Asia",11337.05,5.0461e+10,38654647887,4450.98
88,800,"Uganda","Africa",48582.33,5.01e+10,25307842467,1031.24
89,862,"Venezuela","South America",28838.5,4.9823e+10,291376437340,1727.66
90,120,"Cameroon","Africa",28647.29,4.9518e+10,32217073816,1728.54
91,48,"Bahrain","Asia",1485.51,4.5421e+10,32179073596,30576.05
92,434,"Libya","Africa",6888.39,4.5195e+10,42959534586,6561.04
93,446,"Macau","Asia",704.15,4.4856e+10,45311080521,63702.43
94,600,"Paraguay","South America",6861.52,4.4671e+10,27165101909,6510.36
95,68,"Bolivia","South America",12388.57,4.3351e+10,33806395465,3499.27
96,428,"Latvia","Europe",1830.21,4.3128e+10,27572698482,23564.5
97,233,"Estonia","Europe",1322.77,4.0102e+10,23337920560,30316.8
98,524,"Nepal","Asia",30896.59,3.9028e+10,20914004957,1263.18
99,716,"Zimbabwe","Africa",16665.41,3.4654e+10,16123763648,2079.4
100,598,"Papua New Guinea","Oceania",10329.93,3.2334e+10,19694115731,3130.13
101,222,"El Salvador","North America",6364.94,3.2223e+10,26797469656,5062.57
102,686,"Senegal","Africa",17763.16,3.2107e+10,14604520531,1807.5
103,340,"Honduras","North America",10593.8,3.1661e+10,21516915353,2988.64
104,116,"Cambodia","Asia",16944.83,3.0239e+10,20016747858,1784.56
105,196,"Cyprus","Europe",1260.14,3.0137e+10,20046234311,23915.63
106,887,"Yemen","Asia",34449.83,2.9556e+10,25374086438,857.94
107,352,"Iceland","Europe",375.32,2.9476e+10,20269659972,78536.07
108,894,"Zambia","Africa",20569.74,2.7709e+10,21063063977,1347.08
109,96,"Brunei","Asia",452.52,2.7708e+10,11400266878,61229.9
110,780,"Trinidad and Tobago","North America",1534.94,2.503e+10,24086176564,16306.86
111,70,"Bosnia and Herzegovina","Europe",3210.85,2.4971e+10,16909904149,7777.08
112,268,"Georgia","Europe",3728.28,2.33e+10,14332728707,6249.53
113,324,"Guinea","Africa",14190.61,2.2945e+10,8476136811,1616.91
114,266,"Gabon","Africa",2436.57,2.2472e+10,13863183526,9222.82
115,854,"Burkina Faso","Africa",23251.49,2.128e+10,11695117109,915.21
116,332,"Haiti","North America",11724.76,2.1195e+10,7647347306,1807.71
117,466,"Mali","Africa",23293.7,2.1191e+10,14001696748,909.73
118,496,"Mongolia","Asia",3447.16,2.1047e+10,11160356685,6105.61
119,204,"Benin","Africa",13712.83,2.0029e+10,8893638002,1460.6
120,72,"Botswana","Africa",2675.35,1.9821e+10,15566057294,7408.74
121,508,"Mozambique","Africa",33897.35,1.9519e+10,10930131568,575.83
122,8,"Albania","Europe",2832.44,1.9062e+10,11863866791,6729.89
123,470,"Malta","Europe",535.06,1.8627e+10,10998577038,34812.66
124,418,"Laos","Asia",7633.78,1.7996e+10,15805707090,2357.42
125,562,"Niger","Africa",27202.84,1.7303e+10,7528285819,636.07
126,558,"Nicaragua","North America",7046.31,1.6776e+10,13230214875,2380.82
127,328,"Guyana","South America",813.83,1.6377e+10,3436626633,20123.27
128,388,"Jamaica","North America",2825.54,1.6208e+10,14056901075,5736.24
129,51,"Armenia","Europe",2777.97,1.5842e+10,10572299425,5702.73
130,178,"Republic of the Congo","Africa",6106.87,1.5641e+10,7778081883,2561.21
131,807,"North Macedonia","Europe",2085.68,1.5546e+10,10745782586,7453.69
132,450,"Madagascar","Africa",30325.73,1.5189e+10,11222263845,500.86
133,226,"Equatorial Guinea","Africa",1714.67,1.4956e+10,10677940568,8722.37
134,516,"Namibia","Africa",2604.17,1.4205e+10,10947277246,5454.71
135,498,"Moldova","Europe",3435.93,1.3752e+10,6772647958,4002.41
136,44,"Bahamas","North America",412.62,1.363e+10,11261800000,33032.57
