Year,PopDensity,PopSexRatio,MedianAgePop,PopGrowthRate,Births,Deaths,DeathsMale,DeathsFemale,NetMigrations,Country_ID
2015,413.3776,98.3798,15.6299,1.109,448.194,92.775,49.285,43.49,-236.447,22
2016,420.1668,98.406,15.2445,2.141,432.48,89.609,46.858,42.751,-109.49,22
2017,429.888,98.4556,15.0911,2.431,426.555,86.959,45.663,41.296,-68.45,22
2018,442.9084,98.5103,15.1473,3.521,424.108,87.635,46.196,41.439,68.145,22
2019,457.6045,98.5573,15.3081,3.016,431.143,87.264,46.457,40.806,14.241,22
2020,470.9143,98.5857,15.4383,2.722,435.303,92.462,49.354,43.108,-10.186,22
2021,483.6691,98.6131,15.5807,2.624,437.599,93.864,49.691,44.173,-14.415,22
2022,496.7082,98.648,15.766,2.695,439.648,94.241,49.766,44.475,2.0,22
2015,392.378,100.4528,18.576,2.164,23.498,6.348,3.499,2.849,-1.349,31
2016,400.9844,100.4744,18.7864,2.175,23.717,6.36,3.479,2.882,-1.136,31
2017,409.2767,100.5537,19.0361,1.921,23.911,6.354,3.513,2.841,-2.922,31
2018,417.1486,100.6927,19.3273,1.889,24.003,6.405,3.53,2.874,-2.919,31
2019,425.0328,100.8292,19.613,1.856,24.092,6.5,3.576,2.924,-2.917,31
2020,433.1897,100.9071,19.8594,1.945,24.128,6.678,3.716,2.962,-1.772,31
2021,441.4968,100.9245,20.0606,1.855,24.18,7.171,3.978,3.193,-1.772,31
2022,449.6365,100.9463,20.2612,1.799,24.201,7.145,3.951,3.194,-2.0,31
2015,43.4107,98.9531,22.1362,1.7,24.018,8.644,4.693,3.952,1.723,38
2016,44.1442,98.9121,22.4086,1.652,24.044,8.76,4.75,4.01,1.623,38
2017,44.8763,98.8626,22.6841,1.638,24.196,8.7,4.767,3.933,1.535,38
2018,45.6082,98.8059,22.9609,1.598,24.28,8.819,4.83,3.989,1.435,38
2019,46.3328,98.7525,23.2349,1.555,24.417,9.039,4.929,4.11,1.322,38
2020,47.03,98.685,23.496,1.433,24.496,9.614,5.315,4.299,0.744,38
2021,47.6945,98.603,23.7411,1.373,24.541,10.109,5.559,4.55,0.742,38
2022,48.3541,98.5264,23.9805,1.374,24.549,10.041,5.502,4.539,0.9,38
2015,102.4719,101.2748,17.2033,2.683,3425.259,738.626,416.674,321.952,62.784,44
2016,105.2932,101.2305,17.4326,2.748,3506.866,729.424,417.134,312.29,115.812,44
2017,108.1979,101.1896,17.6579,2.695,3576.536,732.113,413.935,318.178,71.769,44
2018,111.1294,101.1521,17.8717,2.652,3667.649,730.182,418.813,311.369,9.309,44
2019,114.1206,101.1107,18.0722,2.66,3781.463,735.123,421.19,313.933,-10.803,44
2020,117.1909,101.0675,18.2666,2.65,3841.565,775.334,445.114,330.221,38.867,44
2021,120.283,101.009,18.4584,2.56,3895.734,815.212,472.66,342.552,-1.391,44
2022,123.3799,100.9453,18.6471,2.525,3928.445,801.777,464.262,337.516,-11.999,44
2015,80.6772,98.6668,17.8674,2.158,1452.29,345.318,184.135,161.183,-95.981,68
2016,82.4735,98.6126,18.0567,2.245,1456.804,351.719,185.436,166.282,-29.727,68
2017,84.2875,98.5564,18.2583,2.108,1457.61,357.331,192.187,165.144,-68.704,68
2018,86.0184,98.4753,18.4774,1.959,1459.581,365.374,196.455,168.919,-115.434,68
2019,87.7372,98.4148,18.7019,1.997,1451.197,371.729,198.452,173.277,-61.946,68
2020,89.5183,98.3805,18.9258,2.022,1455.947,387.712,207.704,180.008,-17.106,68
2021,91.2744,98.3266,19.1544,1.865,1468.358,427.272,231.945,195.327,-52.549,68
2022,93.0341,98.2665,19.3816,1.953,1488.394,423.182,229.463,193.719,-10.0,68
2015,42.7142,100.6705,17.8677,2.574,814.367,175.196,95.919,79.278,0.485,78
2016,43.8332,100.6438,18.0636,2.598,835.638,173.724,95.79,77.934,0.485,78
2017,44.9807,100.6151,18.2541,2.571,850.058,177.726,97.976,79.75,0.485,78
2018,46.1443,100.5866,18.441,2.537,861.57,180.875,99.733,81.142,0.485,78
2019,47.3245,100.5532,18.6243,2.513,872.971,179.489,99.849,79.64,-1.487,78
2020,48.514,100.5092,18.7994,2.452,884.817,191.982,107.109,84.873,-0.742,78
2021,49.7008,100.4591,18.9644,2.382,895.045,205.436,114.062,91.374,-0.742,78
2022,50.8972,100.411,19.1254,2.375,906.13,201.373,111.923,89.451,-1.5,78
2015,179.1495,94.2589,15.7343,2.739,605.977,135.632,72.941,62.691,-6.449,79
2016,184.0852,94.3341,15.8641,2.697,606.249,131.285,71.068,60.217,-5.498,79
2017,189.1146,94.4031,16.0144,2.694,614.279,127.87,69.764,58.106,-4.795,79
2018,194.2622,94.4678,16.1794,2.678,623.309,127.786,69.809,57.976,-3.706,79
2019,199.5446,94.5288,16.3624,2.688,634.083,124.761,68.751,56.01,-2.228,79
2020,204.9355,94.582,16.5608,2.644,644.116,129.975,71.84,58.135,-1.775,79
2021,210.3577,94.636,16.768,2.579,653.703,138.931,75.661,63.27,-1.775,79
2022,215.8105,94.6988,16.9834,2.539,665.678,141.532,76.592,64.941,-6.0,79
2015,637.0212,98.1076,34.1364,0.055,13.265,9.803,5.424,4.379,-2.747,84
2016,637.3946,98.0009,34.6462,0.063,13.456,10.095,5.595,4.5,-2.558,84
2017,637.8032,97.8906,35.133,0.066,13.755,10.524,5.802,4.722,-2.381,84
2018,638.119,97.7854,35.5972,0.033,13.431,10.786,5.896,4.89,-2.209,84
2019,638.5611,97.6772,36.0374,0.105,13.282,10.891,5.969,4.922,-1.034,84
2020,639.3239,97.5517,36.4447,0.134,13.462,11.243,6.204,5.039,-0.478,84
2021,639.8594,97.4127,36.8139,0.034,13.437,12.527,6.856,5.671,-0.478,84
2022,640.1325,97.2726,37.1417,0.052,13.266,12.591,6.874,5.717,0.0,84
2015,34.1352,95.723,16.1965,3.041,1041.021,255.083,134.098,120.985,30.414,89
