Metric Code,Segment,Subject,Source
01_01,Macroeconomics,GDP,The World Bank
01_02,Macroeconomics,GDP,The World Bank
01_03,Macroeconomics,GDP,The World Bank
01_04,Macroeconomics,GDP,The World Bank
01_05,Macroeconomics,GDP,The World Bank
01_06,Macroeconomics,Economic Metrics,The World Bank
01_07,Macroeconomics,Economic Metrics,International Monetary Fund (IMF)
01_08,Macroeconomics,Economic Metrics,The World Bank
01_09,Macroeconomics,Economic Metrics,The Economist
01_10,Macroeconomics,Economic Metrics,United Nations Environment Programme (UNEP)
01_11,Macroeconomics,Economic Metrics,(blank)
01_12,Macroeconomics,Economic Metrics,The World Bank
01_13,Macroeconomics,Economic Metrics,The World Bank
01_14,Macroeconomics,Unemployment & Underemployment,The World Bank
01_15,Macroeconomics,Unemployment & Underemployment,The World Bank
01_16,Macroeconomics,Unemployment & Underemployment,International Labor Organization (ILOSTAT)
01_17,Macroeconomics,Debt & Deficit,International Monetary Fund (IMF)
01_18,Macroeconomics,Debt & Deficit,Central Intelligence Agency (CIA)
01_19,Macroeconomics,Income Inequality,The World Bank
01_20,Macroeconomics,Income Inequality,The World Bank
01_21,Macroeconomics,Income Inequality,The World Bank
01_22,Macroeconomics,Income Inequality,United Nations Development Programme (UNDP)
01_23,Macroeconomics,Poverty,United Nations Development Programme (UNDP)
01_24,Macroeconomics,Poverty,International Labor Organization (ILOSTAT)
01_25,Macroeconomics,Income Disparities & Wage Gap,Credit Suisse
01_26,Macroeconomics,Income Disparities & Wage Gap,World Economic Forum
01_27,Macroeconomics,Income Disparities & Wage Gap,Organisation for Economic Co-operation and Development (OECD)
01_28,Macroeconomics,Currency Value Against USD,Organisation for Economic Co-operation and Development (OECD)
01_29,Macroeconomics,Minimum Wage,International Labor Organization (ILOSTAT)
01_30,Macroeconomics,Labor Force Participation,International Labor Organization (ILOSTAT)
01_31,Macroeconomics,Labor Force Participation,International Labor Organization (ILOSTAT)
01_32,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_33,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_34,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_35,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_36,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_37,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_38,Macroeconomics,Household Dynamics,Organisation for Economic Co-operation and Development (OECD)
01_39,Macroeconomics,Non-performing Loans and Solvency,International Monetary Fund (IMF)
02_01,Economic Indicators and Investment,Market and Consumer Indices,Organisation for Economic Co-operation and Development (OECD)
02_02,Economic Indicators and Investment,Market and Consumer Indices,Organisation for Economic Co-operation and Development (OECD)
02_03,Economic Indicators and Investment,Market and Consumer Indices,The World Bank
02_04,Economic Indicators and Investment,Investment Trends,Organisation for Economic Co-operation and Development (OECD)
02_05,Economic Indicators and Investment,Investment Trends,Organisation for Economic Co-operation and Development (OECD)
02_06,Economic Indicators and Investment,Economic Metrics,United Nations World Tourism Organization
03_01,Industrial and Trade,Trade Patterns,International Monetary Fund (IMF)
03_02,Industrial and Trade,Industrial Environmental Impact,The World Bank
03_03,Industrial and Trade,Industrial Environmental Impact,Our World in Data
03_04,Industrial and Trade,Industrial Environmental Impact,Our World in Data
03_05,Industrial and Trade,Industrial Environmental Impact,The World Bank
03_06,Industrial and Trade,Consumption of Electricity,The World Bank
03_07,Industrial and Trade,Agriculture,The World Bank
04_01,Environmental Health,Air Quality and Pollution,IQAir
04_02,Environmental Health,Climate Change Indicators,International Monetary Fund (IMF)
04_03,Environmental Health,Climate Change Indicators,International Monetary Fund (IMF)
04_04,Environmental Health,Climate Change Indicators,International Monetary Fund (IMF)
04_05,Environmental Health,Climate Change Indicators,International Monetary Fund (IMF)
04_06,Environmental Health,Extreme Weather Conditions,International Monetary Fund (IMF)
04_07,Environmental Health,Extreme Weather Conditions,Germanwatch
04_08,Environmental Health,Environmental Sustainability,Yale University
04_09,Environmental Health,Environmental Sustainability,Dual Citizen Inc.
04_10,Environmental Health,Environmental Sustainability,Vision of Humanity
04_11,Environmental Health,Percentage of Renewable Resources,The World Bank
05_01,Political Sociology,Corruption Overview,Transparency International
05_02,Political Sociology,Political Landscape,Economist Intelligence Unit
05_03,Political Sociology,Political Landscape,Freedom House
05_04,Political Sociology,War and Armed Conflicts,Vision of Humanity
05_05,Political Sociology,War and Armed Conflicts,Vision of Humanity
05_06,Political Sociology,War and Armed Conflicts,Vision of Humanity
05_07,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_08,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
05_09,Political Sociology,War and Armed Conflicts,Uppsala Universitet - Uppsala Conflict Data Program
